"လယ်ဝေး","Lewe Township"
"ဒက္ခိဏသီရိ","Dekkinathiri Township"
"ပျဥ်းမနား","Pyinmana Township"
"ဇမ္မူသီရိ","Zabuthiri Township"
"ဥတ္တရသီရိ","Ottarathiri Township"
"တပ်ကုန်း","Tatkone Township"
"ဇေယျာသီရိ","Zeyarthiri Township "
"ပုဗ္ဗသီရိ","Pobbathiri Township"
"ပူတာအို","Putao Township"
"နောင်မွန်း","Nogmung  Township"
"မချမ်းဘော","Machanbaw Township"
"ခေါင်လန်ဖူး","Kawnglanghpu Township"
"ဆွမ်ပရာဘွမ်","Sumprabum Township"
"ဗန်းမော်","Bhamo Township"
"မိုးမောက်","Momauk Township"
"မံစီ","Mansi Township"
"ရွှေကူ","Shwegu Township"
"မိုးညှင်း","Mohnyin Township"
"မိုးကောင်း","Mogaung Township"
"ဖားကန့်","Hpakant Township"
"မြစ်ကြီးနား","Myitkyina Township"
"ဝိုင်းမော်","Waingmaw Township"
"အင်ဂျန်းယန်","Injangyang Township"
"တနိုင်း","Tanai Township"
"ချီဖွေ","Chipwi Township"
"ဆော့လော်","Hsawlaw Township"
"လွိုင်ကော်","Loikaw Township"
"ရှားတော","Shadaw Township"
"ဒီးမော့ဆို","Demoso Township"
"ဖရူဆို","Hpruso Township"
"ဘောလခဲ","Bawlakhe Township"
"ဖားဆောင်း","Hpasawng Township"
"မယ်စဲ့","Mese Township"
"ကော့ကရိတ်","Kawkareik Township"
"ကြာအင်းဆိပ်ကြီး","Kyainseikgyi Township"
"ဖာပွန်","Hpapun Township"
"ဘားအံ","Hpa-an Township"
"လှိုင်းဘွဲ့","Hlaingbwe Township"
"သံတောင်ကြီး","Thandaunggyi Township"
"မြဝတီ","Myawaddy Township"
"ဖလမ်း","Falam Township"
"တီးတိန်","Tedim Township"
"တွန်းဇံ","Tonzang Township"
"မတူပီ","Matupi Township"
"ပလက်ဝ","Paletwa Township"
"ကန်ပက်လက်","Kanpetlet Township"
"မင်းတပ်","Mindat Township"
"ထန်တလန်","Thangtlang Township"
"ဟားခါး","Hakha Township"
"လေရှီး","Leshi  Township"
"လဟယ်","Lahe Township"
"နန်းယွန်း","Nanyun Township"
"ကလေး","Kale Township"
"ကလေးဝ","Kalewa Township"
"မင်းကင်း","Mingin Township"
"ကသာ","Katha Township"
"ထီးချိုင့်","Htigyaing Township"
"ဗန်းမောက်","Banmauk Township "
"အင်းတော်","Indaw Township"
"ကောလင်း","Kawlin Township"
"ပင်လည်ဘူး","Pinlebu Township"
"ဝန်းသို","Wuntho Township"
"ကန့်ဘလူ","Kanbalu Township"
"ကျွန်းလှ","Kyunhla Township"
"ခန္တီး","Hkamti Township"
"ဟုမ္မလင်း","Homalin Township"
"စစ်ကိုင်း","Sagaing Township"
"မြင်းမု","Myinmu Township"
"မြောင်","Myaung Township"
"တမူး","Tamu Township"
"ချောင်းဦး","Chaung-U Township"
"ဘုတလင်","Budalin Township"
"မုံရွာ","Monywa Township"
"အရာတော်","Ayadaw Township"
"ဖောင်းပြင်","Phaungbyin Township"
"မော်လိုက်","Mawlaik Township"
"ကနီ","Kani Township"
"ဆားလင်းကြီး","Salingyi Township"
"ပုလဲ","Pale Township"
"ယင်းမာပင်","Yinmabin Township"
"ရွှေဘို","Shwebo Township"
"ခင်ဦး","Khin-U Township"
"ဝက်လက်","Wetlet Township"
"ရေဦး","Ye-U Township"
"တန့်ဆည်","Taze Township"
"ဒီပဲယင်း","Tabayin Township"
"ကော့သောင်း","Kawthaung Township"
"ဘုတ်ပြင်း","Bokepyin Township"
"ထားဝယ်","Dawei Township"
"ရေဖြူ","Yebyu Township"
"လောင်းလုံ","Launglon Township"
"သရက်ချောင်း","Thayetchaung Township"
"ကျွန်းစု","Kyunsu Township"
"တနင်္သာရီ","Tanintharyi Township"
"ပုလော","Palaw Township"
"မြိတ်","Myeik Township"
"တောင်ငူ","Taungoo Township"
"အုတ်တွင်း","Oktwin Township"
"ရေတာရှည်","Yedashe Township"
"ဖြူး","Pyu Township"
"ထန်းတပင်","Tantabin Township"
"ပဲခူး","Bago Township"
"ကဝ","Kawa Township"
"ဝေါ","Waw Township"
"သနပ်ပင်","Thanatpin Township"
"ညောင်လေးပင်","Nyaunglebin Township"
"ကျောက်တံခါး","Kyauktaga Township"
"ဒိုက်ဦး","Daik-U Township"
"ရွှေကျင်","Shwegyin Township"
"ကျောက်ကြီး","Kyaukkyi Township"
"ပြည်","Pyay Township"
"ပေါက်ခေါင်း","Paukkaung Township"
"ပန်းတောင်း","Pandaung Township"
"ရွှေတောင်","Shwedaung Township"
"သာယာဝတီ","Tharrawaddy Township"
"လက်ပံတန်း","Letpadan Township"
"မင်းလှ","Minhla Township"
"မိုးညို","Monyo Township "
"အုတ်ဖို","Okpho Township"
"ကြို့ပင်ကောက်","Gyobingauk Township"
"နတ်တလင်း","Nattalin Township"
"ဇီးကုန်း","Zigon Township"
"သဲကုန်း","Thegon Township"
"ပေါင်းတည်","Paungde Township"
"ဂန့်ဂေါ","Gangaw Township"
"ဆော","Saw Township"
"ထီးလင်း","Htilin Township"
"ပခုက္ကူ","Pakokku Township"
"ဆိပ်ဖြူ","Seikphyu Township"
"ပေါက်","Pauk Township"
"ရေစကြို","Yesagyo Township"
"မြိုင်","Myaing Township"
"မကွေး","Magway Township"
"တောင်တွင်းကြီး","Taungdwingyi Township"
"မြို့သစ်","Myothit Township"
"နတ်မောက်","Natmauk Township"
"ချောက်","Chauk Township"
"ရေနံချောင်း","Yenangyaung Township"
"မင်းဘူး","Minbu Township"
"ငဖဲ","Ngape Township"
"စလင်း","Salin  Township"
"စေတုတ္တရာ","Sidoktaya Township"
"ပွင့်ဖြူ","Pwintbyu Township"
"သရက်","Thayet Township"
"ကံမ","Kamma Township"
"မင်းတုန်း","Mindon Township"
"မင်းလှ","Minhla Township"
"အောင်လံ","Aunglan Township"
"ဆင်ပေါင်ဝဲ","Sinbaungwe Township"
"ကျောက်ဆည်","Kyaukse Township"
"စဥ့်ကိုင်","Sintgaing Township"
"မြစ်သား","Myittha Township"
"တံတားဦး","Tada-U Township"
"ငါန်းဇွန်","Ngazun Township"
"ညောင်ဦး","Nyaung-U Township"
"ကျောက်ပန်းတောင်း","Kyaukpadaung Township"
"ပြင်ဦးလွင်","Pyinoolwin Township"
"သပိတ်ကျင်း","Thabeikkyin Township"
"မိုးကုတ်","Mogok Township"
"စဉ့်ကူး","Singu Township"
"မဟာအောင်မြေ","Maha Aungmye Township"
"ချမ်းအေးသာဇံ","Chanayethazan Township"
"ချမ်းမြသာစည်","Chanmyathazi Township"
"ပြည်ကြီးတံခွန်","Pyigyidagun Township"
"အောင်မြေသာဇံ","Aungmyethazan Township"
"ပုသိမ်ကြီး","Patheingyi Township"
"မတ္တရာ","Madaya Township"
"အမရပူရ","Amarapura Township"
"မလှိုင်","Mahlaing Township"
"မိတ္ထီလာ","Meiktila Township"
"ဝမ်းတွင်း","Wundwin Township"
"သာစည်","Thazi Township"
"မြင်းခြံ","Myingyan Township"
"တောင်သာ","Taungtha Township"
"နွားထိုးကြီး","Natogyi Township"
"ရမည်းသင်း","Yametin Township"
"ပျော်ဘွယ်","Pyawbwe Township"
"မော်လမြိုင်","Malamyine Township "
"ကျိုက်မရော","Kyaikmaraw Township"
"ချောင်းဆုံ","Chaungzon Township "
"သံဖြူဇရပ်","Thanbyuzayat Township "
"မုဒုံ","Mudon Township"
"ရေး","Ye Township"
"သထုံ","Thaton Township"
"ပေါင်","Paung Township"
"ကျိုက်ထို","Kyaikto Township"
"ဘီးလင်း","Bilin Township"
"ကျောက်ဖြူ","Kyaukpyu Township"
"ရမ်းဗြဲ","Ramee Township"
"အမ်း","Ann Township"
"စစ်တွေ","Sittwe Township"
"ပေါက်တော","Pauktaw Township"
"ပုဏ္ဏကျွန်း","Ponnagyun Township"
"ရသေ့တောင်","Rathedaung Township"
"မောင်တော","Maungdaw Township"
"ဘူးသီးတောင်","Buthidaung Township"
"ကျောက်တော်","Kyauktaw Township"
"မင်းပြား","Minbya Township"
"မြေပုံ","Myebon Township"
"မြောက်ဦး","Mrauk-U Township"
"သံတွဲ","Thandwe Township"
"ဂွ","Gwa Township"
"တောင်ကုတ်","Toungup Township"
"မာန်အောင်","Manaung Township"
"တိုက်ကြီး","Taikkyi Township"
"လှည်းကူး","Hlegu Township"
"မှော်ဘီ","Hmawbi Township"
"ထန်းတပင်","Htantabin Township"
"မင်္ဂလာဒုံ","Mingaladon Township"
"ရွှေပြည်သာ","Shwepyitha Township"
"အင်းစိန်","Insein Township"
"လှိုင်သာယာ(အရှေ့ပိုင်)","East Hlaingthaya Township"
"လှိုင်သာယာ(အနောက်ပိုင်း)","West Hlaingthaya Township"
"သင်္ဃန်းကျွန်း","Thingangyun Township"
"တောင်ဥက္ကလာပ","South Okkalapa Township"
"ရန်ကင်း","Yankin Township"
"တာမွေ","Tamwe Township"
"ဗိုလ်တထောင်","Botataung Township"
"ဒေါပုံ","Dawbon Township"
"မင်္ဂလာတောင်ညွန့်","Mingala Taungnyunt Township"
"ပုဇွန်တောင်","Pazundaung Township"
"သာကေတ","Thaketa Township"
"ဒဂုံမြို့သစ်(တောင်ပိုင်း)","South Dagon Township"
"ဒဂုံမြို့သစ်(မြောက်ပိုင်း)","North Dagon Township"
"ဒဂုံမြို့သစ်(အရှေ့ပိုင်း)","East Dagon Township"
