စဉ်,"ကုမ္ပဏီအမည်
",ခွင့်ပြုမိန့်/ အတည်ပြုမိန့်အမှတ်,ရင်းနှီးမြှုပ်နှံမှု ပုံစံ,လုပ်ငန်းအမျိုးအစား, လုပ်ငန်းတည်နေရာ,"ရင်းနှီးမြှုပ်နှံမှု
စုစုပေါင်း ပမာဏ(USD in Million)",ထုတ်ကုန် အမျိုးအစား,ကုန်ကြမ်း အမျိုးအစား,ရင်းနှီးတိုး,ရင်းနှီးလျော့,"YRIC 
အစည်းအဝေး", ဝန်ထမ်း,, ဝန်ထမ်း,,"ရင်းနှီးမြှုပ်နှံမှု
သက်တမ်း",နိုင်ငံ,မှတ်ချက်,ဆက်သွယ်ရမည့်အမည်/ဖုန်းနံပါတ်,"ကုမ္ပဏီမှတ်ပုံတင်
အမှတ်",ရင်းနှီးမြှုပ်နှံမှုကဏ္ဍ,ဘဏ် ငွေစာရင်းအမှတ် နှင့် ဘဏ်အမည်,မြေဧရိယာ ,"မြေဧရိယာ 
တိုး","မြေဧရိယာ 
လျော့ချ"," အတည်ပြုမိန့်
ပြည်လည်
အပ်နှံခြင်း",လတ္တီကျူ/ လောင်ဂျီကျူ,စီးပွားဖြစ်စ,တည်ဆောက်ရေးကာလ,ရင်းနှီးမြှုပ်နှံသူ/ ကမကထအမည်ပြောင်း,"အတည်ပြုမိန့် မူရင်းနှင့်
 ဆုံးဖြတ်ချက်မူရင်း
ပြန်လည်အပ်နှံခြင်း"
,,,,,,,,,,,,ပြည်တွင်း,ပြည်ပ,"ပြည်တွင်း
တိုး","ပြည်ပ
တိုး",,,,,,,,,,,,,,,,
၁,"Fu Bai Hong Industrial Co.,Ltd.
(China)
Fuu Ball Houng Industrial Co., Ltd.သို့ အမည်ပြောင်း
","အတည်ပြုမိန့်
၀၀၁/၂၀၁၇
(၁၉.၉.၂၀၁၇)",,CMP စနစ်ဖြင့် အဝတ်အထည် ချုပ်လုပ်ခြင်းလုပ်ငန်း,မြေကွက်အမှတ် ၄၊ မြေတိုင်းရပ် ကွက် အမှတ် ၁၁၃၊ စက်မှုဇုန်၊ ဒဂုန်မြို့သစ် (အရှေ့) မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသ ကြီး,၁.၁၈,,,,,"2/2022
23-2-2022",၇၃၀,၂၀,,,၂၀,China,,"ဒေါ်ကြူကြူလင်း
၀၉-၄၃၈၄၈၈၈၈",,,,၁.၃၉၁.၁၁.၁.၃၉၁,,,CMP,,,,,
၂,"Aizawa Myanmar   Co.,Ltd
(Myanmar)+Singapore
JV","အတည်ပြုမိန့်  ၀၀၂/၂၀၁၇
(၁၉.၉.၂၀၁၇)",,"ကြိုတင်သွန်းလောင်း
ကွန်ကရစ် ပစ္စည်းများအသင့် ရောစပ်ပြီး ကွန်ကရစ် နှင့် ပိုင်များ ထုတ်လုပ် ခြင်းနှင့် ဖြန့်ဖြူး ရောင်းချခြင်းလုပ်ငန်း",​မြေကွက်အမှတ် ၃၇၄၊ မြေတိုင်းရပ်ကွက်အမှတ်၄၉၊ ဝါးတစ်ရာ စက်မှုဇုန်၊ ရွေပြည် သာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၂,,,,,,၂၀,,,,၃၀,Singapore,,"ဒေါ်ညိုမီဆွေမြင့်
ဒါရိုက်တာ
09-5130173",,,,"၂.၀၀၂ဧက
(၈၁၀၁.၈၁၄
)စတုရန်းမီတာ",,,,"16°59'26.1""N 96°03'25.4""E",,,,
၃,"Mianyi Manufacturing    Co.,Ltd
(China)
","အတည်ပြုမိန့် ရကတ- ၀၀၃/၂၀၁၇
(၁၁-၁၀-၂၀၁၇)",,CMP စနစ်ဖြင့် အထည်ချုပ် လုပ်ခြင်းလုပ်ငန်း,မြေကွက်အမှတ် ၆၆၊ မြေတိုင်းရပ်ကွက်အမှတ်အပိုင်း ၃၊ စက်မှုဇုန်၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၀.၇,,,,,,၃၃၀,၃,,,၁၅,China,, ,,,,(၁.၈၉၀) ဧက (၇၆၄၈.၅  စတုရန်းမီတာ),,,CMP,"16°51'17.6""N 96°04'08.2""E",,,,
၄,"Super Gathergates Electric   Co.,Ltd
(Myanmar)+Singapore (JV)
","အတည်ပြုမိန့် ရကတ-၀၀၄/၂၀၁၇
(၁၁-၁၀-၂၀၁၇)",,"လျှပ်စစ်မီးဘုတ် ခလုပ်ခုံကြီး
များ ထုတ်လုပ် ရောင်းချ ဖြန့်ဖြူးခြင်းလုပ်ငန်း",မြေကွက်အမှတ် ၉၆၊ မြေတိုင်းရပ် ကွက် အမှတ် ၁၁၃၊ စက်မှုဇုန်၊ ဒဂုန် မြို့သစ် (အရှေ့) မြို့နယ်၊ ရန်ကုန် တိုင်း ဒေသကြီး,၃.၁,,,,,,၆၈,၃,,,၅၀,Singapore,,"ဒေါ်ယုယုဝင်း
ဒါရိုက်တာ
၀၉-၅၅၀၄၆၂၁",,,,,,,,"16°53'49.0""N 96°14'08.8""E",,,,
၅,"P & S Union Group   Ltd
(China)
","အတည်ပြုမိန့်
ရကတ- ၀၀၅/၂၀၁၇
(၁၁-၁၀-၂၀၁၇)",,CMP စနစ်ဖြင့် လက်ကိုင် အိတ် အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း, ​မြေကွက်အမှတ် ၃၉၆၊ မြေ တိုင်းရပ်ကွက်အမှတ် (ရလပ-၂၅) ၊ ရွှေလင်ပန်း စက်မှု ဇုန်၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၂.၁၃၃,,,,1.511**,"8/2019 နှင့်
7/2019 တွင် တူနေ",၈၈၉,၂၀,,,၂၀,China,,၀၉-၅၁၉၀၅၄၉,,,,,,,Other,"16°54'22.5""N 96°04'29.6""E",,,,
၆,"Myanmar Wide Garment Co.,Ltd
(China)
မြန်မာနိုင်ငံသားပြောင်း","အတည်ပြုမိန့်
ရကတ- ၀၀၆/၂၀၁၇
(၂၅-၁၀-၂၀၁၇)",,CMP စနစ်ဖြင့် ရှပ်အင်္ကျီချုပ် လုပ်ခြင်း လုပ်ငန်း  ,​မြေကွက်အမှတ် ၃၆ နှင့် ၈၁/က ၊ မြေတိုင်းရပ်ကွက် အမှတ် ၅၂၁ အေ ၊ ကိုးလုံး ကွင်း၊ သန္ဓေပင်ကျေးရွာ ၊ မင်္ဂလာဒုံမြို့နယ်၊ ရန်ကုန် တိုင်း ဒေသကြီး ,၀.၇၆၇,,,,,"11/2022
25-11-2022
အစုရှယ်ယာလွှဲပြောင်းခြင်း၊ရင်းနှီးမြှုပ်နှံသူအမည်/လိပ်စာ   ပြင်
ရင်းနှီးပုံစံပြင်",၁၀၀၂,၉,,,၁၀,China,,"ဦးဝင်မျိုးဝင်း(မန်နေဂျာ)
၀၉-၄၄၉၀၀၂၄၀၈",,,,,,,CMP,"17°04'35.3""N 96°06'29.5""E",,,,
၇,"Sanhe Tissue Paper    Co.,Ltd(China)
","အတည်ပြုမိန့်
ရကတ- ၀၀၇/၂၀၁၇
(၈.၁၁.၂၀၁၇)",,"တစ်ရှူးထုတ်လုပ်ရောင်းချ
ဖြန့်ဖြူး ခြင်းလုပ်ငန်း",​မြေကွက်အမှတ် ၃၆၁ မြောင်းတကာသံမဏိ စက်မှုဇုန်၊ မှော်ဘီမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၂.၃၅၉,,,,,,၃၃,၃,,,၃၀,China,Covid ကြောင့် ခေတ္တရပ်ဆိုင်းထားပါသည်။,ဒေါ်ရတနာ 09-763622233,,,,,,,,"17°09'22.3""N 95°58'27.3""E",,,,
၈,"Myanmar Haisheng Fashion Clothes Co.,Ltd
(China)
","အတည်ပြုမိန့်
ရကတ- ၀၀၈/၂၀၁၇
( ၈.၁၁.၂၀၁၇)",,CMP စနစ်ဖြင့် အဝတ် အထည်အမျိုးမျိုးချုပ်လုပ် ခြင်း လုပ်ငန်း ,​မြေကွက်အမှတ် ၁၄၃၊ မြေတိုင်းရပ်ကွက်အမှတ် ၆၄၊  စက်မှုဇုန်(၃)၊ ရွေပြည်သာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသ ကြီး,၁.၉၁၇,,,,,,၁၆၃၇,၂၀,,,၂၀,China,Covid ကြောင့် ခေတ္တရပ်ဆိုင်းထားပါသည်။,ဦးသီဟ09448900970,,,,,,,CMP,,,,,
၉," South Honour Ltd
(Taiwan)
","အတည်ပြုမိန့်
ရကတ- ၀၀၉/၂၀၁၇
(၈-၁၁-၂၀၁၇)",,CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ချုပ် လုပ်ခြင်း လုပ်ငန်း ,​မြေကွက်အမှတ် ၊ ၂၂၂၊ လှိုင်သာယာ စက်မှုဇုန်(၂) လှိုင် သာယာမြို့နယ် ၊ ရန်ကုန်တိုင်းဒေသကြီး  ,၀.၃၀၆,,,,,,၂၈၇,၁၀,,,၁၀,Taiwan,Covid ကြောင့်ခေတ္တရပ်ဆိုင်းထားပါသည်။," မသက်ခိုင်
09960725399",,,,,,,Other,,,,,
